"INSTNM","YEAR","LOCALE2","STABBR","ACCREDAGENCY","REGION","CONTROL","LOCALE","MAIN","ADM_RATE","UGDS","COSTT4_A","HBCU","MN_EARN_WNE_P10","MD_EARN_WNE_P10","MN_EARN_WNE_MALE0_P10","MN_EARN_WNE_MALE1_P10","MN_EARN_WNE_P6","MD_EARN_WNE_P6","MN_EARN_WNE_MALE0_P6","MN_EARN_WNE_MALE1_P6","DEBT_MDN_SUPP","GRAD_DEBT_MDN_SUPP","RPY_3YR_RT_SUPP","LO_INC_RPY_3YR_RT_SUPP","MD_INC_RPY_3YR_RT_SUPP","HI_INC_RPY_3YR_RT_SUPP","C150_4_POOLED_SUPP","C200_4_POOLED_SUPP","RET_FT4_POOLED_SUPP","TUITIONFEE_OUT","TUITIONFEE_IN"
"Kentucky Wesleyan College",2025,"01 City","KY","Southern Association of Colleges and Schools Commission on Colleges",5,"Private nonprofit","13","Main","0.67","794","43981","0","41700","46747","39800","43400","30100","35895","26900","32900","11000","23250","0.5708661417","0.4153005464","0.625","0.7021276596","0.5052","0.4262","0.6112","33393","33393"
"University of Kentucky",2025,"01 City","KY","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","11","Main","0.9238","23189","32291","0","54000","59025","48500","59900","43500","47266","40200","46700","16750","22500","0.6325903151","0.521282186","0.6334002006","0.713190184","0.6933","0.6801","0.8574","33406","13212"
"Kentucky Christian University",2025,"03 Town","KY","Southern Association of Colleges and Schools Commission on Colleges",5,"Private nonprofit","32","Main","0.6238","438","38893","0","36500","42375","32300","41300","29900","39921","26200","32200","8510","22250","0.5263157895","0.4417177914","0.5181818182","0.6635514019","0.3225","0.3346","0.4585","25000","25000"
"Lexington Theological Seminary",2025,"01 City","KY","Commission on Accrediting of the Association of Theological Schools",5,"Private nonprofit","11","Main","NA","NA","not_reported","0","NA","NA","NA","NA","NA","NA","NA","NA","PS","PS","PS","PS","PS","PS","NA","NA","NA","NA","NA"
"Lindsey Wilson College",2025,"03 Town","KY","Southern Association of Colleges and Schools Commission on Colleges",5,"Private nonprofit","33","Main","NA","1649","39568","0","31300","41129","27000","38400","25700","34861","24500","28000","11514","16784","0.4204778157","0.3376318875","0.5159090909","0.5872093023","0.3754","0.4004","0.6708","27274","27274"
"University of Louisville",2025,"01 City","KY","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","11","Main","0.8054","14187","30843","0","48600","53899","41700","56700","38200","46571","34400","42500","13750","20500","0.5853184249","0.4948096886","0.5752797558","0.706286318","0.6144","0.6333","0.7949","29174","12828"
"Louisville Presbyterian Theological Seminary",2025,"01 City","KY","Commission on Accrediting of the Association of Theological Schools",5,"Private nonprofit","11","Main","NA","NA","not_reported","0","PS","NA","PS","PS","PS","NA","PS","PS","-999","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Madisonville Community College",2025,"03 Town","KY","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","32","Main","NA","1797","13413","0","32100","35733","27000","44900","27300","31257","23900","35100","5853","8450","0.3799256506","0.27680798","0.5076142132","0.5973154362","NA","NA","NA","6192","4656"
"Maysville Community and Technical College",2025,"04 Rural","KY","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","41","Main","NA","2207","13015","0","29200","32194","26100","37200","24500","27631","21100","31400","8047","11500","0.2358735096","0.1970954357","0.3197969543","0.4943820225","NA","NA","NA","6192","4656"
"Midway University",2025,"04 Rural","KY","Southern Association of Colleges and Schools Commission on Colleges",5,"Private nonprofit","42","Main","0.9518","1250","41400","0","37400","44246","36200","48100","34600","40738","32000","50700","12470","21301","0.4322169059","0.3567073171","0.4858490566","0.5862068966","0.4494","0.5619","0.7114","26080","26080"
"Morehead State University",2025,"03 Town","KY","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","33","Main","0.8212","4689","22758","0","37000","43197","32300","42800","30000","37131","27100","33700","14705","22250","0.4655647383","0.396056338","0.5051282051","0.5781021898","0.4746","0.4501","0.6887","14706","9838"
"Murray State University",2025,"03 Town","KY","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","32","Main","0.8617","6646","21475","0","42300","44737","37000","49700","33100","38473","29100","38700","15000","20500","0.5724856125","0.4596117721","0.6358234295","0.6933638444","0.5898","0.5584","0.7679","19452","9708"
"Gateway Community and Technical College",2025,"02 Suburb","KY","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","21","Main","NA","2824","13849","0","31700","36147","27800","39500","27600","34492","24000","33300","8000","10711","0.2803532009","0.204496788","0.4315068493","0.4812030075","NA","NA","NA","6192","4656"
"Northern Kentucky University",2025,"02 Suburb","KY","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","21","Main","0.9603","8065","19471","0","41800","50220","37900","47600","35200","42105","32200","38800","15159","23000","0.5464907995","0.4403987863","0.575640406","0.6509915014","0.4917","0.5119","0.7764","21480","10896"
"West Kentucky Community and Technical College",2025,"01 City","KY","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","13","Main","NA","2810","13457","0","31400","34891","26400","40300","26200","29823","22700","33100","6158","8986","0.3395238095","0.2762784091","0.4271653543","0.5815217391","NA","NA","NA","6192","4656"
"University of Pikeville",2025,"03 Town","KY","Southern Association of Colleges and Schools Commission on Colleges",5,"Private nonprofit","33","Main","NA","1140","33271","0","39000","48231","36700","41100","32100","34508","30500","33200","12467","20679","0.4150943396","0.3672922252","0.4972677596","0.4360902256","0.3707","0.3304","0.6608","24150","24150"
"Big Sandy Community and Technical College",2025,"03 Town","KY","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","33","Main","NA","1590","13046","0","28200","32954","22000","36800","25000","28106","21400","30200","6911","9357","0.2489913545","0.2056514914","0.3679525223","0.3709677419","NA","NA","NA","6192","4656"
"Empire Beauty School-Chenoweth",2025,"02 Suburb","KY","National Accrediting Commission of Career Arts and Sciences",5,"Private for-profit","21","Other","NA","83","not_reported","0","22000","23921","21800","23900","18500","20215","PS","PS","7851","10667","0.2978723404","0.2254160363","0.4242424242","0.5802469136","NA","NA","NA","NA","NA"
"Empire Beauty School-Elizabethtown",2025,"01 City","KY","National Accrediting Commission of Career Arts and Sciences",5,"Private for-profit","13","Other","NA","158","not_reported","0","24800","24022","24200","35100","20900","19897","20900","19800","6222","10667","0.2591424968","0.223880597","0.3223684211","0.5657894737","NA","NA","NA","NA","NA"
"Empire Beauty School-Dixie",2025,"01 City","KY","National Accrediting Commission of Career Arts and Sciences",5,"Private for-profit","11","Other","NA","80","not_reported","0","22700","24397","PS","PS","21600","19174","PS","PS","6756","10667","0.2741273101","0.2199170124","0.3806818182","0.5466666667","NA","NA","NA","NA","NA"
"Empire Beauty School-Florence",2025,"02 Suburb","KY","National Accrediting Commission of Career Arts and Sciences",5,"Private for-profit","21","Other","NA","124","not_reported","0","20200","23925","PS","PS","16800","19338","PS","PS","7667","13000","0.2771362587","0.24328594","0.3597883598","0.4090909091","NA","NA","NA","NA","NA"
"Somerset Community College",2025,"03 Town","KY","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","33","Main","NA","3899","12464","0","27500","30787","24200","33200","22700","27858","20100","26700","8000","12215","0.2591331972","0.2058913777","0.4033437827","0.445026178","NA","NA","NA","6192","4656"
"Southeast Kentucky Community & Technical College",2025,"04 Rural","KY","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","43","Main","NA","1680","12431","0","27900","29482","24900","33100","22900","26999","20300","26600","5500","6919","0.2669902913","0.2308510638","0.3733333333","0.4084507042","NA","NA","NA","6192","4656"
"The Southern Baptist Theological Seminary",2025,"01 City","KY","Southern Association of Colleges and Schools Commission on Colleges",5,"Private nonprofit","11","Main","0.9689","844","not_reported","0","NA","NA","NA","NA","NA","NA","NA","NA","PS","PS","NA","NA","NA","NA","0.4353","0.3756","0.8201","13086","13086"
"Spalding University",2025,"01 City","KY","Southern Association of Colleges and Schools Commission on Colleges",5,"Private nonprofit","11","Main","0.9864","597","43474","0","48300","49438","46800","55600","38000","42870","37800","38700","20500","25250","0.4295774648","0.335600907","0.4561403509","0.6984126984","0.5128","0.5086","0.7021","27850","27850"
"Sullivan University",2025,"01 City","KY","Southern Association of Colleges and Schools Commission on Colleges",5,"Private for-profit","11","Main","NA","2498","31100","0","35100","38008","31300","41100","29100","34516","26400","32800","10688","20000","0.3149813556","0.2401507366","0.4044117647","0.5769230769","0.2879","NA","NA","14220","14220"
"Thomas More University",2025,"02 Suburb","KY","Southern Association of Colleges and Schools Commission on Colleges",5,"Private nonprofit","21","Main","0.9703","1305","46342","0","58900","59384","54000","63800","46700","47148","44300","49300","14376","26236","0.6262886598","0.4806629834","0.6307189542","0.7128027682","0.4245","0.4594","0.6645","38400","38400"
"Transylvania University",2025,"01 City","KY","Southern Association of Colleges and Schools Commission on Colleges",5,"Private nonprofit","11","Main","0.8499","1014","58863","0","50100","54705","48600","52600","34400","40447","32700","37000","20000","27000","0.75","0.5692307692","0.76","0.8066298343","0.6941","0.7364","0.8082","44980","44980"
"Union College",2025,"03 Town","KY","Southern Association of Colleges and Schools Commission on Colleges",5,"Private nonprofit","33","Main","0.5504","736","44375","0","36400","42002","30400","39700","28800","36529","26200","30600","14250","24250","0.4670050761","0.3636363636","0.543956044","0.593495935","0.3451","0.3282","0.5821","30946","30946"
"Western Kentucky University",2025,"01 City","KY","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","13","Main","0.9705","12267","23520","0","38600","43889","34400","44400","30800","38156","28500","33600","14702","22095","0.4687898089","0.3516145566","0.5236439499","0.6300484653","0.525","0.5858","0.7726","27000","11436"
"Central Louisiana Technical Community College",2025,"01 City","LA","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","13","Main","NA","1100","11966","0","NA","29558","NA","NA","NA","29573","NA","NA","7000","7000","NA","NA","NA","NA","NA","NA","NA","4099","4099"
"Ayers Career College",2025,"01 City","LA","Council on Occupational Education",5,"Private for-profit","12","Main","NA","213","not_reported","0","27700","29935","23000","35200","22000","24889","20300","25600","8772","9500","0.4473684211","0.4273858921","PS","PS","NA","NA","NA","NA","NA"
"Baton Rouge General Medical Center School of Nursing & School of Radiologic Technology",2025,"01 City","LA","Accreditation Commission for Education in Nursing",5,"Private nonprofit","12","Main","NA","130","not_reported","0","53400","75071","PS","PS","49000","69636","PS","PS","13000","16750","PS","PS","PS","PS","NA","NA","NA","NA","NA"
"Bossier Parish Community College",2025,"01 City","LA","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","13","Main","NA","5046","15872","0","36400","34502","30600","47900","28000","26552","24400","34200","9500","17500","0.4133370074","0.3704563032","0.5038265306","0.5675675676","NA","NA","NA","4283","4283"
"Centenary College of Louisiana",2025,"01 City","LA","Southern Association of Colleges and Schools Commission on Colleges",5,"Private nonprofit","12","Main","0.5442","615","57929","0","52500","50330","47400","58900","32900","42821","30400","36400","15250","27000","0.7190635452","0.5882352941","0.7009345794","0.8064516129","0.596","0.5791","0.7039","40000","40000"
"Cloyd's Beauty School 1 Inc",2025,"02 Suburb","LA","Council on Occupational Education",5,"Private for-profit","22","Main","NA","49","not_reported","0","PS","18603","PS","PS","PS","NA","PS","PS","PS","PS","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Crescent City Bartending School",2025,"01 City","LA","Accrediting Council for Continuing Education & Training",5,"Private for-profit","11","Main","NA","693","not_reported","0","29400","22407","24100","33500","23000","22089","20300","25600","6100","9500","0.2497570457","0.2319474836","PS","PS","NA","NA","NA","NA","NA"
"Delgado Community College",2025,"01 City","LA","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","11","Main","NA","11182","19137","0","34700","33305","31700","41200","28900","27129","27300","32100","9500","20198","0.4865775581","0.4517661027","0.5692307692","0.6611570248","NA","NA","NA","4678","4678"
"Avery James College",2025,"01 City","LA","Council on Occupational Education",5,"Private for-profit","13","Main","NA","74","not_reported","0","PS","NA","PS","PS","PS","19236","PS","PS","5229","9573","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Denham Springs Beauty School",2025,"02 Suburb","LA","Council on Occupational Education",5,"Private for-profit","21","Main","NA","72","not_reported","0","19500","18298","PS","PS","PS","19304","PS","PS","7797","PS","0.5862068966","PS","PS","PS","NA","NA","NA","NA","NA"
"Dillard University",2025,"01 City","LA","Southern Association of Colleges and Schools Commission on Colleges",5,"Private nonprofit","11","Main","0.4051","1111","36057","1","37900","39196","37800","38000","27600","28507","29100","24500","23048","31000","0.5470668486","0.5636743215","0.5081967213","0.5352112676","0.4661","0.5202","0.7006","22194","22194"
"Nunez Community College",2025,"02 Suburb","LA","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","21","Main","NA","1495","17309","0","32500","35343","28100","41800","33600","32367","27800","42600","8250","13000","0.4829545455","0.4430894309","PS","PS","NA","NA","NA","4255","4255"
"Grambling State University",2025,"03 Town","LA","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","32","Main","0.2368","4144","25100","1","32800","41109","31500","34100","26200","25589","25700","26600","24500","36500","0.4084337349","0.4014687882","0.3990461049","0.4845814978","0.3453","0.3691","0.7413","16706","7683"
"Belbo Beauty Institute",2025,"01 City","LA","National Accrediting Commission of Career Arts and Sciences",5,"Private for-profit","12","Main","NA","109","not_reported","0","21400","16792","PS","PS","15300","21584","PS","PS","9500","9500","0.3564356436","0.3924050633","PS","PS","NA","NA","NA","NA","NA"
"ITI Technical College",2025,"02 Suburb","LA","Accrediting Commission of Career Schools and Colleges",5,"Private for-profit","21","Main","NA","513","24236","0","59900","68342","PS","PS","53400","56551","32700","56400","12214","15006","0.6435643564","0.5818815331","0.6993006993","0.7733333333","NA","NA","NA","11711","11711"
"John Jay Beauty College",2025,"02 Suburb","LA","National Accrediting Commission of Career Arts and Sciences",5,"Private for-profit","21","Main","NA","104","not_reported","0","23800","17985","PS","PS","19400","26021","PS","PS","PS","PS","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Louisiana State University Health Sciences Center-New Orleans",2025,"01 City","LA","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","11","Main","NA","843","not_reported","0","99800","78495","81100","168200","65600","74290","62100","81900","18500","19500","0.8080357143","0.7939698492","0.7727272727","0.8717948718","NA","NA","NA","NA","NA"
"Louisiana State University-Alexandria",2025,"04 Rural","LA","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","41","Main","0.9263","4414","15540","0","36300","42205","32900","45600","33000","37284","30200","39600","10500","19000","0.626984127","0.5720430108","0.6332046332","0.7784810127","0.333","0.381","0.6727","14650","7050"
"Louisiana State University and Agricultural & Mechanical College",2025,"01 City","LA","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","12","Main","0.74","29207","34328","0","60100","61251","49800","71800","45000","49218","38700","51600","12956","20500","0.7236295681","0.6266666667","0.7024734982","0.8020477816","0.7037","0.674","0.8379","28631","11954"
"Louisiana State University-Eunice",2025,"03 Town","LA","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","32","Main","NA","2617","16541","0","36700","36498","30400","50900","30400","30715","26300","39100","6989","14250","0.5471698113","0.4588441331","0.625","0.6949152542","NA","NA","NA","10094","4730"
"Louisiana State University-Shreveport",2025,"01 City","LA","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","12","Main","0.8272","2150","19233","0","41000","47477","36400","49000","36000","38467","33200","41000","15000","22500","0.5729564553","0.5205091938","0.5671232877","0.7383966245","0.3289","0.4029","0.6382","20481","7327"
"Aveda Arts & Sciences Institute-Baton Rouge",2025,"02 Suburb","LA","National Accrediting Commission of Career Arts and Sciences",5,"Private for-profit","21","Main","NA","197","not_reported","0","25300","25903","PS","PS","21900","21857","PS","PS","9833","9833","0.5367965368","0.4892086331","0.4893617021","0.7333333333","NA","NA","NA","NA","NA"
"Aveda Arts & Sciences Institute-Lafayette",2025,"01 City","LA","National Accrediting Commission of Career Arts and Sciences",5,"Private for-profit","12","Main","NA","134","not_reported","0","23100","23904","PS","PS","20500","19975","PS","PS","7411","7916","0.671641791","0.6436781609","PS","PS","NA","NA","NA","NA","NA"
"Louisiana Academy of Beauty",2025,"03 Town","LA","National Accrediting Commission of Career Arts and Sciences",5,"Private for-profit","32","Main","NA","31","not_reported","0","PS","16539","PS","PS","PS","17790","PS","PS","PS","PS","PS","PS","PS","PS","NA","NA","NA","NA","NA"
"Louisiana Christian University",2025,"02 Suburb","LA","Southern Association of Colleges and Schools Commission on Colleges",5,"Private nonprofit","23","Main","0.8379","750","30564","0","48300","51700","40900","57500","35400","40615","33700","37000","11000","21875","0.6690518784","0.6007751938","0.6979865772","0.7565789474","0.3901","0.3108","0.5754","19740","19740"
"Opelousas School of Cosmetology",2025,"03 Town","LA","National Accrediting Commission of Career Arts and Sciences",5,"Private for-profit","32","Main","NA","10","not_reported","0","PS","26459","PS","PS","PS","18228","PS","PS","6500","PS","PS","PS","PS","PS","NA","NA","NA","NA","NA"
"Louisiana Tech University",2025,"03 Town","LA","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","32","Main","0.7257","7819","24405","0","49200","52279","38300","59700","38800","44903","32700","44300","15000","22135","0.6615384615","0.5521292217","0.6896551724","0.7541528239","0.5877","0.615","0.8242","16866","10125"
"Loyola University New Orleans",2025,"01 City","LA","Southern Association of Colleges and Schools Commission on Colleges",5,"Private nonprofit","11","Main","0.8772","2999","61837","0","52300","52927","49500","57000","36000","34092","35300","36900","18500","26000","0.6513761468","0.5573333333","0.6494565217","0.7302631579","0.6726","0.6156","0.7683","47240","47240"
"McNeese State University",2025,"01 City","LA","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","13","Main","0.6755","4846","21168","0","45000","46453","35600","57400","36600","38713","31200","45300","13000","23000","0.6229967949","0.5324568611","0.6471389646","0.7926605505","0.4936","0.4432","0.6965","9960","8460"
"University of New Orleans",2025,"01 City","LA","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","11","Main","0.6677","4479","22605","0","43500","47872","39100","49200","35200","38410","32100","39000","11000","18750","0.6303005352","0.5922098569","0.6532374101","0.6974789916","0.4049","0.4283","0.6469","14008","9172"
"New Orleans Baptist Theological Seminary",2025,"01 City","LA","Southern Association of Colleges and Schools Commission on Colleges",5,"Private nonprofit","11","Main","NA","770","not_reported","0","NA","NA","NA","NA","NA","NA","NA","NA","PS","PS","NA","NA","NA","NA","0.3832","0.4568","0.84","11540","11540"
"Nicholls State University",2025,"01 City","LA","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","13","Main","0.9602","4772","21519","0","43800","45454","34300","57000","37200","38829","31400","46200","13156","22675","0.6804680468","0.6124401914","0.7105643994","0.7839506173","0.4998","0.4829","0.7579","9266","8173"
"University of Louisiana at Monroe",2025,"01 City","LA","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","13","Main","0.7456","4891","23552","0","46300","46769","39900","57200","38100","40430","34700","43600","15000","21500","0.6313154301","0.5570216777","0.688155922","0.7185501066","0.5067","0.5717","0.7251","21290","9190"
"Northwest Louisiana Technical Community College",2025,"04 Rural","LA","Council on Occupational Education",5,"Public","41","Main","NA","837","17202","0","NA","32503","NA","NA","NA","31084","NA","NA","PS","PS","NA","NA","NA","NA","NA","NA","NA","4109","4109"
"Northwestern State University of Louisiana",2025,"03 Town","LA","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","33","Main","0.9374","5840","24496","0","39600","47021","35200","47300","35700","39485","31800","42800","15000","25000","0.6200846945","0.5448680352","0.6653504442","0.7602040816","0.455","0.4735","0.652","19652","8864"
"University of Holy Cross",2025,"01 City","LA","Southern Association of Colleges and Schools Commission on Colleges",5,"Private nonprofit","11","Main","0.9901","405","28380","0","40700","49316","39400","46900","38700","46296","PS","PS","19500","26995","0.6882129278","0.6328671329","0.7417218543","0.7752808989","0.3617","0.3945","0.7292","16160","16160"
"Franciscan Missionaries of Our Lady University",2025,"01 City","LA","Southern Association of Colleges and Schools Commission on Colleges",5,"Private nonprofit","12","Main","0.8294","826","27314","0","49400","59419","45900","65500","46400","55851","44500","55500","16669","27672","0.7317073171","0.6975088968","0.7335766423","0.8306878307","0.4748","0.3333","0.7092","15690","15690"
"Pat Goins Beauty Schools formerly Paul Mitchell the School-Shreveport",2025,"01 City","LA","NA",5,"Private for-profit","12","Main","NA","102","not_reported","0","PS","20239","PS","PS","PS","19184","PS","PS","5500","6333","0.5272727273","0.488372093","PS","PS","NA","NA","NA","NA","NA"
"Celebrity Stylist Beauty School",2025,"01 City","LA","National Accrediting Commission of Career Arts and Sciences",5,"Private for-profit","13","Main","NA","45","not_reported","0","PS","22002","PS","PS","PS","NA","PS","PS","6333","PS","PS","PS","PS","PS","NA","NA","NA","NA","NA"
"Pineville Beauty School",2025,"02 Suburb","LA","National Accrediting Commission of Career Arts and Sciences",5,"Private for-profit","23","Main","NA","45","not_reported","0","PS","19411","PS","PS","PS","17263","PS","PS","PS","PS","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Aveda Arts & Sciences Institute-Covington",2025,"01 City","LA","National Accrediting Commission of Career Arts and Sciences",5,"Private for-profit","13","Main","NA","2538","not_reported","0","27400","30334","PS","PS","25000","24647","PS","PS","7917","7917","0.4675842086","0.4024615385","0.4977511244","0.6503198294","NA","NA","NA","NA","NA"
"Saint Joseph Seminary College",2025,"04 Rural","LA","Southern Association of Colleges and Schools Commission on Colleges",5,"Private nonprofit","41","Main","NA","91","43395","0","PS","38366","PS","PS","PS","24003","PS","PS","PS","PS","PS","PS","PS","PS","0.4651","0.4848","0.7667","26770","26770"
"LaSalle Tech",2025,"01 City","LA","Council on Occupational Education",5,"Private for-profit","13","Main","NA","159","not_reported","0","15500","20975","PS","PS","PS","18865","PS","PS","5853","6333","0.4594594595","PS","PS","PS","NA","NA","NA","NA","NA"
"Fletcher Technical Community College",2025,"04 Rural","LA","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","41","Main","NA","1999","16674","0","33400","32189","26100","50300","28400","28291","24900","38700","7500","10064","NA","NA","NA","NA","NA","NA","NA","4219","4219"
"Remington College-Lafayette Campus",2025,"01 City","LA","Accrediting Commission of Career Schools and Colleges",5,"Private nonprofit","12","Other","NA","247","35344","0","28100","31349","26200","35300","23400","26884","22200","28500","9500","13271","0.2589161649","0.2283704126","0.3615763547","0.5369458128","NA","NA","NA","22355","22355"
"SOWELA Technical Community College",2025,"01 City","LA","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","13","Main","NA","2979","16402","0","44000","32303","32000","56900","39200","32044","24000","53200","PS","PS","PS","PS","PS","PS","NA","NA","NA","4265","4265"
"Stevensons Academy of Hair Design",2025,"01 City","LA","National Accrediting Commission of Career Arts and Sciences",5,"Private for-profit","11","Main","NA","106","not_reported","0","19900","23853","PS","PS","21100","18109","PS","PS","PS","PS","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Southeastern Louisiana University",2025,"01 City","LA","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","13","Main","0.9428","9514","22647","0","42800","46482","35300","53100","34600","37124","31100","39800","11077","22113","0.6656864963","0.5878627968","0.6813583815","0.7758318739","0.443","0.4212","0.7329","20851","8373"
"Southern University and A & M College",2025,"01 City","LA","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","12","Main","0.4987","5323","26076","1","39600","43371","35100","45300","30800","33033","29000","33300","15455","29251","0.5324754902","0.5399732023","0.5128205128","0.5246478873","0.2933","0.3445","0.5987","17198","9940"
"Southern University at New Orleans",2025,"01 City","LA","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","11","Main","0.6021","1095","20893","1","32100","34042","29900","36000","26800","29148","25400","29400","19500","31000","0.5384092454","0.5422647528","0.4917127072","0.6388888889","0.1752","0.2342","0.4725","16390","7490"
"Southern University at Shreveport",2025,"01 City","LA","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","12","Main","NA","1974","18188","1","29800","33099","27600","35600","27000","22990","26100","29700","7500","18500","0.4310679612","0.416070008","0.4871794872","0.537037037","NA","NA","NA","4958","4958"
"University of Louisiana at Lafayette",2025,"01 City","LA","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","12","Main","0.8883","12269","24631","0","46400","47089","37400","57800","37200","42668","31400","45500","14991","22902","0.6930512017","0.6254728878","0.6934369603","0.7915129151","0.5157","0.5395","0.7314","24146","10418"
"Northshore Technical Community College",2025,"04 Rural","LA","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","41","Main","NA","2156","15772","0","NA","29734","NA","NA","NA","27306","NA","NA","7772","12000","NA","NA","NA","NA","NA","NA","NA","4203","4203"
"Tulane University of Louisiana",2025,"01 City","LA","Southern Association of Colleges and Schools Commission on Colleges",5,"Private nonprofit","11","Main","0.1459","7759","83761","0","86300","63268","75000","100600","48400","50220","43900","54200","19250","20500","0.7080361388","0.5601604278","0.7113594041","0.8410757946","0.8819","0.8638","0.9375","65538","65538"
"Xavier University of Louisiana",2025,"01 City","LA","Southern Association of Colleges and Schools Commission on Colleges",5,"Private nonprofit","11","Main","0.7448","2534","39183","1","64500","52184","63300","68000","46700","40643","44800","51200","14000","24053","0.5254901961","0.5310015898","0.5012531328","0.5506072874","0.5037","0.4975","0.6938","27868","27868"
"College of the Atlantic",2025,"04 Rural","ME","New England Commission on Higher Education",1,"Private nonprofit","43","Main","0.6502","358","56334","0","27800","40264","PS","PS","20500","NA","PS","PS","17723","25050","0.7708333333","PS","0.7619047619","PS","0.6412","0.6625","0.7861","46179","46179"
"Bates College",2025,"01 City","ME","New England Commission on Higher Education",1,"Private nonprofit","13","Main","0.1302","1753","80440","0","74300","69498","63200","83600","46000","59202","42500","49500","12442","14275","0.8764940239","PS","PS","0.9135802469","0.9156","0.9245","0.9356","63478","63478"
"Beal University",2025,"01 City","ME","Accrediting Commission of Career Schools and Colleges",1,"Private for-profit","13","Main","NA","503","not_reported","0","23100","35639","22000","27500","22500","40158","20400","30100","11261","19500","0.3358778626","0.2651933702","0.4812030075","PS","0.3948","NA","0.6061","NA","NA"
"Bowdoin College",2025,"03 Town","ME","New England Commission on Higher Education",1,"Private nonprofit","31","Main","0.0802","1846","80390","0","83300","82735","71500","93100","57100","61692","48900","65100","12000","18500","0.9","PS","PS","0.9276315789","0.9482","0.9448","0.9697","64910","64910"
"Maine College of Health Professions",2025,"01 City","ME","New England Commission on Higher Education",1,"Private nonprofit","13","Main","0.3333","228","20438","0","53100","79840","PS","PS","47200","NA","PS","PS","12000","15250","0.7151515152","0.6363636364","PS","PS","PS","NA","NA","17827","17827"
"Central Maine Community College",2025,"01 City","ME","New England Commission on Higher Education",1,"Public","13","Main","NA","2828","15160","0","35600","42448","31200","40100","29500","31977","26100","32700","6568","12000","0.4573845153","0.3394383394","0.5535714286","0.6822429907","NA","NA","NA","6744","3864"
"Colby College",2025,"03 Town","ME","New England Commission on Higher Education",1,"Private nonprofit","33","Main","0.0683","2282","81550","0","71000","80490","59600","85000","50200","60052","47500","53800","15000","19157","0.8714733542","PS","PS","0.8867924528","0.8917","0.8867","0.9171","66600","66600"
"Eastern Maine Community College",2025,"01 City","ME","New England Commission on Higher Education",1,"Public","13","Main","NA","1692","17184","0","36100","41704","29700","41300","32200","40444","27800","36000","7833","11293","0.4561797753","0.3593519882","0.5514223195","0.567839196","NA","NA","NA","6667","3877"
"Kennebec Valley Community College",2025,"03 Town","ME","New England Commission on Higher Education",1,"Public","33","Main","NA","1538","13978","0","32300","36035","27900","44800","31000","44404","27400","39000","9500","13255","0.4581005587","0.3527204503","0.5942028986","0.6744186047","NA","NA","NA","6442","3562"
"The Landing School",2025,"04 Rural","ME","Accrediting Commission of Career Schools and Colleges",1,"Private nonprofit","41","Main","NA","43","31362","0","PS","65849","PS","PS","36600","NA","PS","PS","PS","PS","PS","PS","PS","PS","NA","NA","NA","27700","27700"
