"INSTNM","YEAR","LOCALE2","STABBR","ACCREDAGENCY","REGION","CONTROL","LOCALE","MAIN","ADM_RATE","UGDS","COSTT4_A","HBCU","MN_EARN_WNE_P10","MD_EARN_WNE_P10","MN_EARN_WNE_MALE0_P10","MN_EARN_WNE_MALE1_P10","MN_EARN_WNE_P6","MD_EARN_WNE_P6","MN_EARN_WNE_MALE0_P6","MN_EARN_WNE_MALE1_P6","DEBT_MDN_SUPP","GRAD_DEBT_MDN_SUPP","RPY_3YR_RT_SUPP","LO_INC_RPY_3YR_RT_SUPP","MD_INC_RPY_3YR_RT_SUPP","HI_INC_RPY_3YR_RT_SUPP","C150_4_POOLED_SUPP","C200_4_POOLED_SUPP","RET_FT4_POOLED_SUPP","TUITIONFEE_OUT","TUITIONFEE_IN"
"Fort Worth Beauty School",2025,"01 City","TX","NA",6,"Private for-profit","11","Main","NA","41","not_reported","0","21600","22139","PS","PS","18100","18219","PS","PS","4750","4767","0.2830882353","0.235","PS","PS","NA","NA","NA","NA","NA"
"Frank Phillips College",2025,"03 Town","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Public","32","Main","NA","749","14727","0","34700","37179","27600","47200","33600","32413","24300","42500","5500","9500","0.3573487032","0.2596153846","0.4719101124","0.56","NA","NA","NA","4882","3712"
"Galveston College",2025,"01 City","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Public","13","Main","NA","1524","14555","0","40100","37233","36000","47600","31800","34299","32500","30600","7250","10311","0.2834224599","0.2560553633","0.3220338983","PS","0.3297","NA","NA","5726","2546"
"Graham's Barber College",2025,"01 City","TX","National Accrediting Commission of Career Arts and Sciences",6,"Private for-profit","11","Main","NA","8","not_reported","0","NA","NA","NA","NA","NA","NA","NA","NA","-999","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Grayson College",2025,"04 Rural","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Public","41","Main","NA","2890","12290","0","36000","40873","33400","41400","31300","36417","29000","35100","7500","12250","0.3543758967","0.2885292048","0.4865900383","0.5202702703","0.2194","NA","0.2571","5850","2910"
"Hallmark University",2025,"01 City","TX","Accrediting Commission of Career Schools and Colleges",6,"Private nonprofit","11","Main","0.9823","781","not_reported","0","37500","40183","28900","41800","33500","46666","24800","37200","18989","25438","0.3445273632","0.3039399625","0.3942307692","0.5238095238","0.6732","0.5446","0.6853","NA","NA"
"Hardin-Simmons University",2025,"01 City","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Private nonprofit","12","Main","0.9653","1275","45059","0","48300","54771","41400","55700","40200","44392","37400","43200","13359","24711","0.6398779247","0.4931972789","0.6796657382","0.7272727273","0.5343","0.5373","0.6459","31686","31686"
"Trinity Valley Community College",2025,"03 Town","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Public","32","Main","NA","4793","13707","0","35600","38567","31100","43800","29400","32725","27500","32800","6707","10426","0.3056925146","0.2496443812","0.369047619","0.4810126582","0.2465","NA","NA","5970","2640"
"Hill College",2025,"03 Town","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Public","32","Main","NA","2269","13230","0","34800","39572","29100","45800","31600","32356","27500","39800","8088","10000","0.2687793427","0.2074010327","0.365535248","0.4842767296","NA","NA","NA","4720","3570"
"Houston Christian University",2025,"01 City","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Private nonprofit","11","Main","0.8515","2777","47605","0","52300","55933","48400","62000","39400","44595","39600","39100","11000","22642","0.5544840887","0.466819222","0.5549132948","0.7047244094","0.4954","0.4703","0.6914","38100","38100"
