"Year","INSTNM","STABBR","REGION","ADM_RATE","UGDS","COSTT4_A","MD_EARN_WNE_P10","MD_EARN_WNE_P6","DEBT_MDN_SUPP","RPY_3YR_RT_SUPP","LO_INC_RPY_3YR_RT_SUPP","MD_INC_RPY_3YR_RT_SUPP","HI_INC_RPY_3YR_RT_SUPP","C150_4_POOLED_SUPP","C200_4_POOLED_SUPP","RET_FT4_POOLED_SUPP","isNCF"
"2020","Ralph R Willis Career and Technical Center","WV",5,,40,"not reported",,,"-999",,,,,,,,FALSE
"2020","Marshall University","WV",5,0.9062,8086,"19016",35600,28500,"15250",0.4232300885,0.3309680689,0.4516344229,0.5562977099,0.4765,0.4807,0.7205,FALSE
"2020","Mercer County Technical Education Center","WV",5,,76,"not reported",31700,26200,"-999",,,,,,,,FALSE
"2020","Meredith Manor International Equestrian Center","WV",5,,65,"27918",,18900,"5500",0.5931034483,0.4032258065,,,,,,FALSE
"2020","Monongalia County Technical Education Center","WV",5,0.7778,95,"not reported",29500,,"-999",,,,,,,,FALSE
"2020","Morgantown Beauty College Inc","WV",5,,87,"not reported",22300,16600,"7820",0.3904761905,0.3389830508,,,,,,FALSE
"2020","Mountain State College","WV",5,,23,"20977",16000,16300,"20517",0.112,0.09375,,,,,,FALSE
"2020","Ohio Valley University","WV",5,0.3443,386,"30171",37200,27700,"12000",0.5122807018,0.4242424242,0.5652173913,0.5492957746,0.3629,0.3068,0.6441,FALSE
"2020","West Virginia University at Parkersburg","WV",5,,1950,"10000",28000,23000,"7505",0.3395127119,0.2616,0.4694323144,0.55,0.3764,0.3565,,FALSE
"2020","Potomac State College of West Virginia University","WV",5,,1099,"14254",45800,34500,"14708",0.5825636192,0.4582084582,0.5813261968,0.6715362865,0.1929,,0.4282,FALSE
"2020","Academy of Careers and Technology","WV",5,,155,"not reported",29000,27800,"-999",,,,,,,,FALSE
"2020","Salem University","WV",5,,747,"27128",28900,26100,"9337",0.2747688243,0.2049808429,0.3976608187,0.515625,0.2226,0.122,0.4662,FALSE
"2020","Shepherd University","WV",5,0.8946,2817,"16744",39700,31400,"15000",0.503507014,0.3545878694,0.5309597523,0.6138613861,0.4503,0.4893,0.6702,FALSE
"2020","Southern West Virginia Community and Technical College","WV",5,,1341,"12110",24400,20100,"4513",0.4024390244,0.3548387097,0.4791666667,,,,,FALSE
"2020","Fred W Eberle Technical Center","WV",5,,224,"not reported",37500,,"-999",,,,,,,,FALSE
"2020","West Virginia School of Osteopathic Medicine","WV",5,,,"not reported",224300,65800,"-999",,,,,,,,FALSE
"2020","West Virginia State University","WV",5,0.9439,1781,"17397",29800,25800,"12100",0.3635087719,0.3198573127,0.4046997389,0.4676616915,0.2773,0.3275,0.5736,FALSE
"2020","West Virginia University Hospital Departments of Rad Tech and Nutrition","WV",5,,49,"not reported",,,"-999",,,,,0.9117,,,FALSE
"2020","West Liberty University","WV",5,0.6936,1994,"20933",36400,27800,"16000",0.5026256564,0.4055793991,0.52,0.6081871345,0.4732,0.4689,0.7149,FALSE
"2020","West Virginia University Institute of Technology","WV",5,0.6065,1295,"17166",45800,34500,"14708",0.5825636192,0.4582084582,0.5813261968,0.6715362865,0.2667,0.2083,0.5924,FALSE
"2020","West Virginia Wesleyan College","WV",5,0.7017,1176,"44409",43600,31000,"19136",0.6412884334,0.5414364641,0.6185185185,0.7456896552,0.4907,0.5039,0.7211,FALSE
"2020","West Virginia Junior College-Charleston","WV",5,,126,"20668",19300,15500,"6898",0.2943603851,0.2363636364,0.4592592593,0.5238095238,,,,FALSE
"2020","West Virginia Junior College-Morgantown","WV",5,,540,"23171",21300,18400,"7093",0.3986928105,0.3059936909,0.6105263158,0.5957446809,,,,FALSE
"2020","International Beauty School 4","WV",5,,69,"not reported",18500,14700,"8750",0.1900452489,0.1337209302,,,,,,FALSE
"2020","West Virginia Northern Community College","WV",5,,1046,"10182",25800,22100,"5634",0.311550152,0.2390572391,0.4686468647,0.4508196721,,,,FALSE
"2020","West Virginia University","WV",5,0.8161,20499,"21278",45800,34500,"14708",0.5825636192,0.4582084582,0.5813261968,0.6715362865,0.5899,0.5889,0.777,FALSE
"2020","Wheeling University","WV",5,0.8634,820,"39647",46200,38800,"17910",0.6443298969,0.5459459459,0.6173469388,0.7611940299,0.5896,0.5667,0.6551,FALSE
"2020","Wood County School of Practical Nursing","WV",5,1,22,"not reported",,,"-999",,,,,,,,FALSE
"2020","VICI Beauty School","WI",3,,111,"not reported",23400,20400,"7334",0.4832962138,0.3464912281,0.6222222222,0.6279069767,,,,FALSE
